component_name,component_version,vuln_count,max_severity,score,cve_list
/bin/bash,,0,UNKNOWN,1.0,
/bin/bunzip2,,0,UNKNOWN,1.0,
/bin/bzdiff,,0,UNKNOWN,1.0,
/bin/bzexe,,0,UNKNOWN,1.0,
/bin/bzgrep,,0,UNKNOWN,1.0,
/bin/bzip2recover,,0,UNKNOWN,1.0,
/bin/bzmore,,0,UNKNOWN,1.0,
/bin/cat,,0,UNKNOWN,1.0,
/bin/chgrp,,0,UNKNOWN,1.0,
/bin/chmod,,0,UNKNOWN,1.0,
/bin/chown,,0,UNKNOWN,1.0,
/bin/cp,,0,UNKNOWN,1.0,
/bin/dash,,0,UNKNOWN,1.0,
/bin/date,,0,UNKNOWN,1.0,
/bin/dd,,0,UNKNOWN,1.0,
/bin/df,,0,UNKNOWN,1.0,
/bin/dir,,0,UNKNOWN,1.0,
/bin/dmesg,,0,UNKNOWN,1.0,
/bin/echo,,0,UNKNOWN,1.0,
/bin/egrep,,0,UNKNOWN,1.0,
/bin/false,,0,UNKNOWN,1.0,
/bin/fgrep,,0,UNKNOWN,1.0,
/bin/findmnt,,0,UNKNOWN,1.0,
/bin/fuser,,0,UNKNOWN,1.0,
/bin/grep,,0,UNKNOWN,1.0,
/bin/gunzip,,0,UNKNOWN,1.0,
/bin/gzexe,,0,UNKNOWN,1.0,
/bin/gzip,,0,UNKNOWN,1.0,
/bin/hostname,,0,UNKNOWN,1.0,
/bin/ip,,0,UNKNOWN,1.0,
/bin/kill,,0,UNKNOWN,1.0,
/bin/ln,,0,UNKNOWN,1.0,
/bin/login,,0,UNKNOWN,1.0,
/bin/ls,,0,UNKNOWN,1.0,
/bin/lsblk,,0,UNKNOWN,1.0,
/bin/mkdir,,0,UNKNOWN,1.0,
/bin/mknod,,0,UNKNOWN,1.0,
/bin/mktemp,,0,UNKNOWN,1.0,
/bin/more,,0,UNKNOWN,1.0,
/bin/mount,,0,UNKNOWN,1.0,
/bin/mountpoint,,0,UNKNOWN,1.0,
/bin/mv,,0,UNKNOWN,1.0,
/bin/ping,,0,UNKNOWN,1.0,
/bin/ping6,,0,UNKNOWN,1.0,
/bin/ps,,0,UNKNOWN,1.0,
/bin/pwd,,0,UNKNOWN,1.0,
/bin/readlink,,0,UNKNOWN,1.0,
/bin/rm,,0,UNKNOWN,1.0,
/bin/rmdir,,0,UNKNOWN,1.0,
/bin/run-parts,,0,UNKNOWN,1.0,
/bin/sed,,0,UNKNOWN,1.0,
/bin/sleep,,0,UNKNOWN,1.0,
/bin/ss,,0,UNKNOWN,1.0,
/bin/stty,,0,UNKNOWN,1.0,
/bin/su,,0,UNKNOWN,1.0,
/bin/sync,,0,UNKNOWN,1.0,
/bin/tailf,,0,UNKNOWN,1.0,
/bin/tar,,0,UNKNOWN,1.0,
/bin/tempfile,,0,UNKNOWN,1.0,
/bin/touch,,0,UNKNOWN,1.0,
/bin/true,,0,UNKNOWN,1.0,
/bin/umount,,0,UNKNOWN,1.0,
/bin/uname,,0,UNKNOWN,1.0,
/bin/vdir,,0,UNKNOWN,1.0,
/bin/wdctl,,0,UNKNOWN,1.0,
/bin/which,,0,UNKNOWN,1.0,
/bin/zcat,,0,UNKNOWN,1.0,
/bin/zcmp,,0,UNKNOWN,1.0,
/bin/zdiff,,0,UNKNOWN,1.0,
/bin/zegrep,,0,UNKNOWN,1.0,
/bin/zfgrep,,0,UNKNOWN,1.0,
/bin/zforce,,0,UNKNOWN,1.0,
/bin/zgrep,,0,UNKNOWN,1.0,
/bin/zless,,0,UNKNOWN,1.0,
/bin/zmore,,0,UNKNOWN,1.0,
/bin/znew,,0,UNKNOWN,1.0,
/etc/alternatives/README,,0,UNKNOWN,1.0,
/etc/apache2/apache2.conf,,0,UNKNOWN,1.0,
/etc/apache2/conf-available/charset.conf,,0,UNKNOWN,1.0,
/etc/apache2/conf-available/localized-error-pages.conf,,0,UNKNOWN,1.0,
/etc/apache2/conf-available/other-vhosts-access-log.conf,,0,UNKNOWN,1.0,
/etc/apache2/conf-available/security.conf,,0,UNKNOWN,1.0,
/etc/apache2/conf-available/serve-cgi-bin.conf,,0,UNKNOWN,1.0,
/etc/apache2/envvars,,0,UNKNOWN,1.0,
/etc/apache2/magic,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/access_compat.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/actions.conf,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/actions.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/alias.conf,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/alias.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/allowmethods.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/asis.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/auth_basic.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/auth_digest.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/auth_form.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/authn_anon.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/authn_core.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/authn_dbd.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/authn_dbm.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/authn_file.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/authn_socache.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/authnz_fcgi.load,,0,UNKNOWN,1.0,
/etc/apache2/mods-available/authnz_ldap.load,,0,UNKNOWN,1.0,
